n_pyth,metric,best_alpha,mean_value,std_value,optimization
1,Partition Coefficient,0.1,2.999999999108299,0.0,max
1,Xie-Beni Index,0.9816326530612246,1.1701222452287419,0.6403181723210453,min
1,Fukuyama-Sugeno Index,1.0,-181.46384367852556,35.49647533239473,min
1,Silhouette Score,0.6510204081632653,0.509627078289894,0.08231949009489056,max
1,Adjusted Rand Score,1.0,0.695050126744676,0.12246493081158914,max
1,Adjusted Mutual Info,1.0,0.7212314870260248,0.097975545927022,max
1,Homogeneity,0.9816326530612246,0.7209128458829765,0.08945039327646266,max
1,Completeness,0.7061224489795919,0.8054646934159994,0.14983392155251518,max
1,V-measure,1.0,0.724720322517296,0.09673610427532701,max
2,Partition Coefficient,0.17755102040816328,2.9999999897212524,3.9720546451956367e-16,max
2,Xie-Beni Index,2.0,1.0996178275734452,0.648625689683599,min
2,Fukuyama-Sugeno Index,2.0,-184.31926815062036,29.860507788280167,min
2,Silhouette Score,1.2244897959183674,0.5102589182790018,0.08301586024377045,max
2,Adjusted Rand Score,2.0,0.7055656701189315,0.12064231144763689,max
2,Adjusted Mutual Info,2.0,0.730142583999022,0.096415006565697,max
2,Homogeneity,2.0,0.7298565087250373,0.09553529981633867,max
2,Completeness,1.3408163265306123,0.7940464834439921,0.15368330256626636,max
2,V-measure,2.0,0.7335163336868514,0.09520509231613299,max
3,Partition Coefficient,0.21836734693877552,2.999999998791259,1.146633409319802e-16,max
3,Xie-Beni Index,2.940816326530612,1.1375976485401806,0.5988775988151398,min
3,Fukuyama-Sugeno Index,3.0,-183.86675772841465,30.148149048697196,min
3,Silhouette Score,1.7571428571428571,0.5136661604057771,0.07204927308471447,max
3,Adjusted Rand Score,3.0,0.7026169855566051,0.12485444958160884,max
3,Adjusted Mutual Info,3.0,0.7280524887408556,0.09957757024191362,max
3,Homogeneity,3.0,0.7279069743035267,0.09850985045993561,max
3,Completeness,1.8755102040816325,0.7887812749090172,0.15642064399091896,max
3,V-measure,3.0,0.731451395517367,0.09832957386319165,max
4,Partition Coefficient,0.25918367346938775,2.99999999933166,0.0,max
4,Xie-Beni Index,3.920408163265306,1.2067845482323571,0.776909056275468,min
4,Fukuyama-Sugeno Index,4.0,-181.72163299632507,37.05922074208367,min
4,Silhouette Score,2.2489795918367346,0.5069248047637517,0.09849930326161058,max
4,Adjusted Rand Score,4.0,0.6967763110012369,0.12813868714121127,max
4,Adjusted Mutual Info,4.0,0.7233791999624759,0.10151473171891581,max
4,Homogeneity,4.0,0.7230225193217056,0.10103012787325946,max
4,Completeness,2.4081632653061225,0.7880426988831617,0.15608757003973323,max
4,V-measure,4.0,0.7268407301143432,0.10023189422894518,max
5,Partition Coefficient,0.30000000000000004,2.9999999992322777,1.8129866073473578e-16,max
5,Xie-Beni Index,5.0,1.2083560055920175,1.543558498255914,min
5,Fukuyama-Sugeno Index,5.0,-184.05438238658706,30.254065763916753,min
5,Silhouette Score,2.7,0.5150146123392549,0.06597786067151236,max
5,Adjusted Rand Score,5.0,0.704097859507772,0.12051105823114433,max
5,Adjusted Mutual Info,5.0,0.7294331495155753,0.09620762589381908,max
5,Homogeneity,5.0,0.7292419467049907,0.09514770195338405,max
5,Completeness,3.0000000000000004,0.7856582476466921,0.15534272859508402,max
5,V-measure,5.0,0.7328145755327502,0.0950023309725893,max
