Feature1,Feature2,Label
1.192553,7.551002,0
0.448241,8.618960,0
2.468302,8.000012,0
-0.920661,7.425986,0
2.642531,8.715616,0
2.927513,7.998365,0
2.147331,6.476013,0
5.109309,8.822104,0
3.636970,8.938386,0
3.963748,7.643420,0
-0.435891,6.803982,0
2.302021,6.944801,0
2.896831,8.463371,0
3.854830,9.079534,0
3.110790,8.218457,0
2.484658,9.735229,0
2.332838,7.261629,0
0.953405,6.555106,0
2.217422,6.466615,0
4.209696,9.078371,0
0.689166,7.599001,0
2.285615,7.868863,0
4.734832,8.536466,0
2.476736,9.073219,0
1.929789,6.510368,0
1.559542,7.498544,0
2.976422,8.911177,0
-0.032792,7.929488,0
3.523200,8.374770,0
1.148767,8.455576,0
2.872380,8.207547,0
4.238993,7.936451,0
0.215698,8.384464,0
1.829001,8.760524,0
1.571600,7.288116,0
0.932579,8.832011,0
1.602885,9.131703,0
6.231455,10.433612,0
1.938979,7.727018,0
2.425500,6.529692,0
2.270408,8.407848,0
-0.371125,6.588499,0
3.527146,8.216896,0
0.341022,7.585175,0
2.754025,8.737532,0
1.550569,8.616291,0
3.294450,8.264734,0
3.098024,7.242401,0
1.418030,7.975205,0
2.059980,7.830506,0
4.539393,8.703377,0
2.820032,7.675040,0
2.156988,8.399753,0
-1.271053,6.789710,0
1.582139,7.765243,0
5.283313,9.338028,0
1.175714,9.699186,0
2.240060,8.349246,0
2.401555,7.198165,0
-0.171157,7.723599,0
0.915977,6.797622,0
0.015873,6.016816,0
0.356603,9.133915,0
3.856816,8.299982,0
1.977349,7.573525,0
4.627066,9.144966,0
3.674754,9.086043,0
3.115590,9.746100,0
3.431427,8.326112,0
0.971751,6.554404,0
1.228848,8.763451,0
4.690068,9.267218,0
1.327362,8.369067,0
4.498360,7.940952,0
1.022005,7.840931,0
1.470910,8.067851,0
3.092849,8.645078,0
1.708923,7.287644,0
-1.323859,7.015749,0
3.841382,9.306632,0
3.433354,9.245757,0
0.262526,6.600439,0
0.234513,7.610670,0
0.041098,8.759951,0
2.639668,7.640544,0
3.757441,8.052117,0
2.031700,8.295750,0
1.285383,8.389257,0
1.552074,9.018610,0
1.655078,10.110591,0
1.182975,6.951484,0
3.686815,9.098395,0
2.172349,8.662887,0
1.213464,7.613873,0
3.889256,7.527615,0
2.511415,8.921299,0
1.999388,6.967743,0
1.591505,8.150003,0
3.463814,8.733682,0
2.235400,7.150638,0
1.224969,8.143541,0
-0.157536,7.979318,0
4.626511,8.311017,0
0.970295,7.999117,0
-0.007680,10.360099,0
0.692829,8.399286,0
0.180629,7.786022,0
2.315901,8.759601,0
3.388658,8.379014,0
2.804587,8.401098,0
-1.404460,5.042933,0
1.300834,6.374378,0
2.486692,9.103711,0
2.205931,7.192467,0
3.022050,8.986344,0
3.183415,8.669507,0
2.113053,7.507025,0
-1.845612,6.932251,0
5.402523,9.563835,0
2.880068,9.070715,0
3.386523,8.479266,0
0.884359,8.255101,0
4.147007,8.612210,0
3.002138,7.873864,0
-1.132435,7.038001,0
3.883628,9.540606,0
-1.925149,7.229472,0
4.735556,8.731952,0
0.044519,6.603761,0
1.015468,8.233921,0
3.599804,8.613348,0
7.833226,9.567571,0
2.796628,7.296277,0
-0.367822,5.834448,0
2.712910,8.403606,0
-0.039853,5.965558,0
0.011358,7.184755,0
3.540193,9.020788,0
1.835983,7.434826,0
1.993696,7.678185,0
1.612280,8.387928,0
-0.344952,6.003249,0
-1.069562,5.111383,0
2.086799,8.523331,0
1.702701,7.360994,0
2.499684,7.798560,0
2.757266,9.017503,0
1.593485,7.257591,0
0.374281,7.581180,0
0.427944,7.870435,0
3.579256,8.190080,0
0.545517,7.903181,0
2.001317,8.097743,0
-0.007843,6.678250,0
1.125267,7.470172,0
2.049781,8.930876,0
0.352655,7.991581,0
-0.234744,7.091739,0
0.926708,7.298395,0
1.484731,7.678755,0
1.660100,8.352253,0
2.783944,10.058111,0
4.073007,7.852801,0
-0.208892,7.740882,0
0.750523,8.002988,0
2.283706,7.374205,0
7.500688,1.858733,1
7.165134,3.279985,1
8.415813,0.755157,1
7.319248,2.360675,1
8.782060,0.964005,1
7.483577,2.151571,1
8.508354,1.439927,1
8.178883,-0.488832,1
8.405127,0.940557,1
8.727126,2.958654,1
7.245735,3.114736,1
7.360226,1.611421,1
7.825669,1.870291,1
7.215661,2.142036,1
8.606624,3.264382,1
8.344544,1.996590,1
7.215227,2.798448,1
7.838409,2.310930,1
7.421570,1.853971,1
8.306388,2.213619,1
7.526338,4.330919,1
5.867685,4.666279,1
7.458627,3.258933,1
5.813214,4.701535,1
8.245184,0.635164,1
9.266330,-1.093908,1
8.673377,1.016516,1
8.965296,3.145790,1
6.903358,3.090760,1
9.001776,0.949610,1
10.195508,0.857370,1
6.800115,3.442830,1
10.181592,0.147475,1
8.894510,2.291078,1
8.817081,-0.396653,1
8.026683,2.024160,1
8.747472,1.609940,1
8.716092,0.488870,1
8.244533,2.350521,1
6.726900,2.566166,1
9.996217,0.364671,1
7.259773,2.183634,1
6.900081,4.162549,1
7.150434,3.636738,1
7.583867,5.452272,1
8.822638,2.011003,1
8.404038,3.377336,1
9.178852,0.928891,1
6.050332,2.810988,1
7.565958,-0.355254,1
8.672366,1.891181,1
6.909924,4.080799,1
5.865338,3.727486,1
9.254508,-0.348931,1
7.687636,2.513264,1
9.508471,-0.858810,1
9.425458,0.458745,1
7.108903,2.161286,1
7.698215,0.914368,1
8.670758,2.259748,1
9.075851,0.834625,1
7.884432,0.988285,1
7.405573,1.479258,1
7.637878,0.809827,1
6.534221,4.698899,1
8.669853,1.120734,1
7.940928,1.766510,1
8.028908,3.113644,1
8.026252,1.066453,1
6.706342,0.791428,1
10.040082,0.422802,1
6.591005,4.158910,1
7.766210,2.900829,1
6.397508,6.614315,1
7.473409,1.479527,1
9.350067,-0.122726,1
7.645064,0.451548,1
7.784200,0.724856,1
7.296852,4.625495,1
8.971755,2.524344,1
7.379356,1.794280,1
7.197495,4.277299,1
8.661781,0.513052,1
7.761185,0.302756,1
8.544139,3.956827,1
9.427135,0.291504,1
8.175165,0.934274,1
7.885109,0.877612,1
7.421009,1.765812,1
7.762277,2.351595,1
7.588849,1.345079,1
8.929972,1.484645,1
6.982537,2.331299,1
8.415035,2.407556,1
9.619569,-0.085873,1
8.874444,1.300436,1
7.400621,0.303719,1
9.264663,-0.207763,1
7.213096,2.028029,1
6.431903,2.272161,1
7.259844,1.471674,1
8.524864,1.125961,1
8.401051,0.684574,1
6.861030,3.167148,1
6.629574,2.733971,1
8.539208,3.245706,1
9.352912,-1.667408,1
7.430224,2.715531,1
7.324640,2.288985,1
7.832801,2.062081,1
7.281120,3.688591,1
7.475415,2.312604,1
8.087230,1.176910,1
7.426394,2.387034,1
9.134689,3.146777,1
7.127155,3.073078,1
6.823486,3.494696,1
8.886599,-1.151086,1
9.188236,-0.684851,1
9.079975,2.631490,1
7.609297,2.367730,1
5.928670,2.334261,1
8.324476,2.600924,1
9.866751,0.392153,1
7.472512,2.312592,1
9.002207,3.686361,1
8.024161,2.338418,1
7.793533,1.064609,1
6.812181,2.825608,1
7.634082,1.925092,1
7.854774,2.775529,1
6.880991,3.234055,1
7.565824,1.277046,1
8.582869,1.529025,1
6.824641,2.701429,1
8.225647,3.679200,1
8.911388,3.244014,1
7.774167,0.491938,1
10.324062,0.109225,1
7.467877,2.874537,1
7.053432,1.975719,1
6.231029,5.390533,1
8.390692,2.412048,1
7.781602,2.738600,1
8.906639,1.089788,1
7.451809,5.059670,1
6.459162,3.993294,1
8.667803,0.601533,1
8.671771,2.471917,1
10.280565,0.239271,1
7.841178,1.629586,1
7.687082,0.017761,1
7.424077,3.151944,1
8.132398,-0.232002,1
9.343537,2.144547,1
7.215857,1.101456,1
8.008253,1.565389,1
10.008163,-1.706783,1
8.629291,1.936063,1
7.334057,4.935307,1
7.481708,1.232187,1
6.088654,5.539679,1
7.973703,2.010319,1
7.755699,2.218609,1
8.077854,1.017917,1
7.670216,1.758682,1
4.991884,6.150515,2
5.639408,8.126967,2
2.250963,7.543624,2
7.762231,3.067783,2
5.515367,5.474703,2
4.009478,4.900001,2
4.429409,8.478085,2
7.323249,7.798250,2
7.020598,4.403280,2
5.258216,6.692080,2
4.271650,7.008332,2
5.660129,5.469923,2
7.005449,6.628283,2
5.489517,7.639540,2
4.471146,6.871064,2
6.838772,5.562235,2
6.461222,4.230658,2
7.306772,5.738509,2
5.260758,7.483523,2
5.003908,4.008135,2
3.798594,6.857027,2
4.189199,8.481654,2
3.055707,8.399152,2
6.298424,5.863227,2
5.229368,6.564464,2
5.946776,7.560304,2
6.161542,6.212559,2
5.485775,5.919467,2
6.435297,3.581457,2
4.093378,7.051134,2
6.241640,5.739808,2
6.026070,6.491555,2
5.236665,4.899311,2
6.276967,4.616372,2
6.577357,3.592183,2
7.455446,6.668354,2
6.362081,7.389735,2
8.355337,7.434536,2
3.396611,4.190405,2
5.116373,6.036898,2
6.732080,4.973643,2
6.264128,4.931727,2
5.135183,4.010681,2
4.694351,4.088429,2
4.619907,7.490075,2
4.657347,9.722750,2
6.697657,6.261398,2
4.786099,6.990388,2
5.185925,6.172548,2
9.620506,5.864151,2
7.625318,5.005558,2
5.950519,8.504290,2
5.113335,8.563189,2
7.000912,5.204552,2
6.894360,7.375400,2
6.879372,3.779367,2
4.971673,5.649956,2
5.894735,6.877763,2
6.251307,4.111538,2
6.537681,6.863499,2
6.791663,7.528455,2
7.179344,6.649379,2
5.900771,3.651047,2
6.607572,6.293715,2
6.384070,4.194405,2
4.471155,7.489383,2
5.944061,6.963788,2
6.040048,6.042082,2
7.326934,5.270203,2
6.135935,5.346244,2
5.385530,5.562765,2
6.314145,5.322947,2
7.775907,4.734834,2
5.735724,5.378126,2
8.046336,6.277970,2
7.459249,3.899100,2
